,Gender,Edu_level,Years_experience,Salary,J_Back end Developer,J_Data Analyst,J_Data Scientist,J_Financial Manager,J_Front end Developer,J_Full Stack Engineer,J_Human Resources Manager,J_Junior Sales Associate,J_Marketing Analyst,J_Marketing Coordinator,J_Marketing Manager,J_Operations Manager,J_Product Manager,J_Senior Project Engineer,J_Senior Software Engineer,J_Software Developer,J_Software Engineer,J_Software Engineer Manager,Gender_e
387,Male,PhD,2.0,115000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
389,Male,Bachelor,9.0,185000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
390,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
391,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
393,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
394,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
395,Male,Bachelor,3.0,125000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
396,Female,Master,2.0,120000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
397,Male,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Female,PhD,5.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
399,Male,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
400,Male,Bachelor,7.0,170000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
401,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
402,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
404,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
405,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
406,Male,PhD,2.0,115000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
408,Male,Bachelor,9.0,185000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
409,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
410,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
412,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
413,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
414,Male,Bachelor,3.0,125000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
415,Female,Master,2.0,120000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
416,Male,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,Female,PhD,5.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
418,Male,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
419,Male,Bachelor,7.0,170000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
420,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
421,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
423,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
424,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
425,Male,PhD,2.0,115000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
427,Male,Bachelor,9.0,185000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
428,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
429,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
431,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
432,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
433,Male,Bachelor,3.0,125000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
434,Female,Master,2.0,120000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
435,Male,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,Female,PhD,5.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
437,Male,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
438,Male,Bachelor,7.0,170000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
439,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
440,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
442,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
443,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
444,Male,PhD,2.0,115000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
446,Male,Bachelor,9.0,185000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
447,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
448,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
450,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
451,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
452,Male,PhD,2.0,115000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
454,Male,Bachelor,9.0,185000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
455,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
456,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
458,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
459,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
460,Male,Bachelor,3.0,125000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
461,Female,Master,2.0,120000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
462,Male,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,Female,PhD,5.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
464,Male,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
465,Male,Bachelor,7.0,170000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
466,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
467,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
469,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
470,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
471,Male,PhD,2.0,115000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
473,Male,Bachelor,9.0,185000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
474,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
475,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
477,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
478,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
479,Male,PhD,2.0,115000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
481,Male,Bachelor,9.0,185000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
482,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
483,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
485,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
486,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
487,Male,PhD,2.0,115000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
489,Male,Bachelor,9.0,185000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
490,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
491,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
493,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
494,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
495,Male,PhD,2.0,115000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
497,Male,Bachelor,9.0,185000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
498,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
499,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
501,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
502,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
503,Male,PhD,2.0,115000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
505,Male,Bachelor,9.0,185000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
506,Male,Bachelor,3.0,130000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,Female,Master,6.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
508,Male,Bachelor,8.0,190000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
509,Female,Bachelor,4.0,150000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
510,Male,Bachelor,1.0,90000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,Female,Master,9.0,195000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
512,Male,Bachelor,5.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
513,Female,Master,11.0,198000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
514,Male,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,Female,PhD,7.0,185000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
516,Male,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
517,Female,Master,12.0,196000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
518,Male,Bachelor,1.0,95000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,Female,PhD,10.0,193000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
520,Male,Bachelor,6.0,175000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
521,Female,Bachelor,5.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
522,Male,Bachelor,3.0,130000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Female,Master,6.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
524,Male,Bachelor,5.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
525,Female,Master,11.0,198000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
526,Male,Bachelor,1.0,90000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,Female,PhD,7.0,185000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
528,Male,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
529,Female,Master,12.0,196000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
530,Male,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,Female,Master,6.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
532,Male,Bachelor,8.0,190000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
533,Female,Bachelor,4.0,150000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
534,Male,Bachelor,9.0,195000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,Female,Bachelor,5.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
536,Male,Master,11.0,198000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
537,Female,Bachelor,3.0,130000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
538,Male,PhD,7.0,185000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
540,Male,Master,12.0,196000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
541,Female,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
542,Male,Bachelor,8.0,190000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
543,Female,Master,6.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
544,Male,Bachelor,5.0,160000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,Female,Master,11.0,198000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
546,Male,Bachelor,1.0,90000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,Female,PhD,9.0,195000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
548,Male,Bachelor,5.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
549,Female,Bachelor,4.0,150000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
550,Male,Bachelor,3.0,130000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Female,Master,6.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
552,Male,Bachelor,8.0,190000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
553,Female,Master,11.0,198000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
554,Male,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,Female,PhD,7.0,185000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
556,Male,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
557,Female,Master,12.0,196000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
558,Male,Bachelor,9.0,195000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,Female,Bachelor,5.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
560,Male,Bachelor,3.0,130000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,Female,Master,6.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
562,Male,Bachelor,8.0,190000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
563,Female,Master,11.0,198000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
564,Male,Bachelor,1.0,90000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,Male,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
566,Female,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
567,Female,PhD,7.0,185000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
568,Male,Bachelor,9.0,195000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,Female,Bachelor,5.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
570,Male,Bachelor,3.0,130000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,Female,Master,6.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
572,Male,Bachelor,8.0,190000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
573,Female,Master,11.0,198000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
574,Male,Bachelor,1.0,90000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,Male,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
576,Female,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
577,Female,PhD,7.0,185000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
578,Male,Bachelor,9.0,195000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,Female,Bachelor,5.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
580,Male,Bachelor,3.0,130000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,Female,Master,6.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
582,Male,Bachelor,8.0,190000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
583,Female,Master,11.0,198000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
584,Male,Bachelor,1.0,90000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,Male,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
586,Female,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
587,Female,PhD,7.0,185000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
588,Male,Bachelor,9.0,195000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Female,Bachelor,5.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
590,Male,Bachelor,3.0,130000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
